Date       ,Time       ,Transaction Platform,Spend,Expense/Revenue,Transaction Type
2/26/2019,1:15:07 AM,other platforms,-70,Expense,Cultural educational and recreational articles and services
2/26/2019,12:30:51 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
2/26/2019,12:30:37 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/26/2019,12:30:24 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
2/26/2019,12:30:03 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/25/2019,11:59:29 AM,other platforms,-18,Expense,Cultural educational and recreational articles and services
2/25/2019,12:38:03 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
2/25/2019,12:37:40 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/25/2019,12:37:28 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
2/24/2019,5:09:32 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
2/24/2019,1:38:12 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
2/24/2019,1:37:41 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/24/2019,1:37:16 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
2/23/2019,1:02:45 PM,other platforms,-18,Expense,Cultural educational and recreational articles and services
2/23/2019,1:13:33 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
2/23/2019,1:13:22 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/23/2019,1:13:00 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
2/22/2019,12:05:38 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
2/22/2019,12:05:25 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/22/2019,12:05:10 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
2/21/2019,11:56:34 AM,other platforms,-68,Expense,Cultural educational and recreational articles and services
2/21/2019,11:54:18 AM,other platforms,-68,Expense,Cultural educational and recreational articles and services
2/21/2019,12:39:20 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
2/21/2019,12:39:08 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/21/2019,12:38:51 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
2/20/2019,3:03:07 PM,other platforms,-68,Expense,Cultural educational and recreational articles and services
2/20/2019,3:02:22 PM,other platforms,-12,Expense,Cultural educational and recreational articles and services
2/20/2019,2:18:42 PM,other platforms,-68,Expense,Cultural educational and recreational articles and services
2/20/2019,2:17:14 PM,other platforms,-68,Expense,Cultural educational and recreational articles and services
2/20/2019,2:15:36 PM,other platforms,-68,Expense,Cultural educational and recreational articles and services
2/20/2019,1:04:32 PM,other platforms,-30,Expense,Cultural educational and recreational articles and services
2/20/2019,12:56:37 PM,other platforms,-128,Expense,Cultural educational and recreational articles and services
2/20/2019,12:51:31 PM,other platforms,-12,Expense,Cultural educational and recreational articles and services
2/20/2019,12:51:16 PM,other platforms,-60,Expense,Cultural educational and recreational articles and services
2/20/2019,12:08:56 AM,other platforms,-30,Expense,Cultural educational and recreational articles and services
2/20/2019,12:08:44 AM,other platforms,-6,Expense,Cultural educational and recreational articles and services
2/20/2019,12:08:32 AM,other platforms,-1,Expense,Cultural educational and recreational articles and services
2/19/2019,6:15:05 PM,other platforms,-68,Expense,Others
